date,day_of_week,meal,attendance,planned_servings,waste_kg,avg_rating,occupancy_pct
2026-05-01,Friday,Breakfast,128,200,27.59,3.0,70.7
2026-05-01,Friday,Lunch,160,200,14.47,2.9,75.9
2026-05-01,Friday,Snacks,83,200,41.95,2.9,46.3
2026-05-01,Friday,Dinner,131,200,26.32,4.8,60.5
2026-05-02,Saturday,Breakfast,82,200,43.15,4.0,36.1
2026-05-02,Saturday,Lunch,124,200,27.47,4.0,59.1
2026-05-02,Saturday,Snacks,67,200,49.47,3.1,29.9
2026-05-02,Saturday,Dinner,94,200,39.68,4.2,48.8
2026-05-03,Sunday,Breakfast,79,200,45.2,4.9,46.6
2026-05-03,Sunday,Lunch,108,200,32.25,3.1,52.6
2026-05-03,Sunday,Snacks,46,200,55.73,4.6,20.6
2026-05-03,Sunday,Dinner,108,200,32.98,4.2,53.7
2026-05-04,Monday,Breakfast,95,200,37.37,3.9,43.0
2026-05-04,Monday,Lunch,157,200,17.38,4.8,86.9
2026-05-04,Monday,Snacks,73,200,46.63,3.3,40.1
2026-05-04,Monday,Dinner,169,200,13.38,4.4,87.6
2026-05-05,Tuesday,Breakfast,113,200,31.52,3.2,59.6
2026-05-05,Tuesday,Lunch,168,200,13.61,2.7,93.8
2026-05-05,Tuesday,Snacks,83,200,42.13,3.2,36.7
2026-05-05,Tuesday,Dinner,146,200,21.03,4.5,77.1
2026-05-06,Wednesday,Breakfast,128,200,27.15,4.8,71.8
2026-05-06,Wednesday,Lunch,151,200,18.14,2.7,75.2
2026-05-06,Wednesday,Snacks,83,200,42.95,4.0,40.6
2026-05-06,Wednesday,Dinner,164,200,14.02,2.8,87.7
2026-05-07,Thursday,Breakfast,90,200,40.67,3.1,43.8
2026-05-07,Thursday,Lunch,166,200,13.47,3.6,78.4
2026-05-07,Thursday,Snacks,72,200,45.41,4.7,38.1
2026-05-07,Thursday,Dinner,161,200,15.74,2.8,84.6
2026-05-08,Friday,Breakfast,104,200,35.87,3.1,48.2
2026-05-08,Friday,Lunch,161,200,16.29,4.1,79.9
2026-05-08,Friday,Snacks,65,200,48.62,3.0,33.7
2026-05-08,Friday,Dinner,140,200,21.97,2.8,70.3
2026-05-09,Saturday,Breakfast,94,200,37.92,4.1,42.0
2026-05-09,Saturday,Lunch,112,200,33.38,2.5,58.7
2026-05-09,Saturday,Snacks,48,200,54.65,4.2,23.0
